"date","year","month","day","total_downloads"
"2017-02-02",2017,"February",02,568
"2017-02-03",2017,"February",03,211
"2017-02-04",2017,"February",04,67
"2017-02-05",2017,"February",05,32
"2017-02-06",2017,"February",06,22
"2017-02-07",2017,"February",07,29
"2017-02-08",2017,"February",08,64
"2017-02-09",2017,"February",09,10
"2017-02-10",2017,"February",10,15
"2017-02-11",2017,"February",11,6
"2017-02-12",2017,"February",12,14
"2017-02-13",2017,"February",13,20
"2017-02-14",2017,"February",14,14
"2017-02-15",2017,"February",15,3
"2017-02-16",2017,"February",16,6
"2017-02-17",2017,"February",17,11
"2017-02-18",2017,"February",18,7
"2017-02-19",2017,"February",19,4
"2017-02-20",2017,"February",20,13
"2017-02-21",2017,"February",21,8
"2017-02-22",2017,"February",22,2
"2017-02-23",2017,"February",23,7
"2017-02-24",2017,"February",24,3
"2017-02-25",2017,"February",25,3
"2017-02-26",2017,"February",26,72
"2017-02-27",2017,"February",27,5
"2017-02-28",2017,"February",28,2
"2017-03-01",2017,"March",01,3
"2017-03-02",2017,"March",02,2
"2017-03-03",2017,"March",03,6
"2017-03-04",2017,"March",04,2
"2017-03-05",2017,"March",05,2
"2017-03-06",2017,"March",06,9
"2017-03-07",2017,"March",07,3
"2017-03-08",2017,"March",08,2
"2017-03-09",2017,"March",09,2
"2017-03-10",2017,"March",10,3
"2017-03-11",2017,"March",11,1
"2017-03-12",2017,"March",12,43
"2017-03-13",2017,"March",13,3
"2017-03-14",2017,"March",14,3
"2017-03-15",2017,"March",15,0
"2017-03-16",2017,"March",16,8
"2017-03-17",2017,"March",17,2
"2017-03-18",2017,"March",18,3
"2017-03-19",2017,"March",19,5
"2017-03-20",2017,"March",20,4
"2017-03-21",2017,"March",21,13
"2017-03-22",2017,"March",22,6
"2017-03-23",2017,"March",23,5
"2017-03-24",2017,"March",24,8
"2017-03-25",2017,"March",25,1
"2017-03-26",2017,"March",26,6
"2017-03-27",2017,"March",27,3
"2017-03-28",2017,"March",28,0
"2017-03-29",2017,"March",29,6
"2017-03-30",2017,"March",30,3
"2017-03-31",2017,"March",31,0
